"binom","bm_g","bm_source"
"Abditomys latidens",268.09,"Etard_trait_data_reported"
"Abeomelomys sevia",57.89,"Etard_trait_data_reported"
"Abrawayaomys ruschii",62.99,"Etard_trait_data_reported"
"Abrocoma bennettii",265.5,"Etard_trait_data_reported"
"Abrocoma boliviensis",158,"Etard_trait_data_reported"
"Abrocoma budini",221.82,"Etard_trait_data_reported"
"Abrocoma cinerea",221.82,"Etard_trait_data_reported"
"Abrocoma famatina",221.82,"Etard_trait_data_reported"
"Abrocoma shistacea",221.82,"Etard_trait_data_reported"
"Abrocoma uspallata",164.279,"Etard_trait_data_reported"
"Abrocoma vaccarum",221.82,"Etard_trait_data_reported"
"Abrothrix andinus",34.65,"Etard_trait_data_reported"
"Abrothrix illutea",47.79,"Etard_trait_data_reported"
"Abrothrix jelskii",34.5,"Etard_trait_data_reported"
"Abrothrix lanosus",25.915,"Etard_trait_data_reported"
"Abrothrix longipilis",185,"Etard_trait_data_reported"
"Abrothrix olivaceus",27,"Etard_trait_data_reported"
"Abrothrix sanborni",24.7,"Etard_trait_data_reported"
"Acerodon celebensis",384.84,"Etard_trait_data_reported"
"Acerodon humilis",352.43,"Etard_trait_data_reported"
"Acerodon jubatus",1087.04,"Etard_trait_data_reported"
"Acerodon leucotis",352.07,"Etard_trait_data_reported"
"Acerodon mackloti",467.93,"Etard_trait_data_reported"
"Acinonyx jubatus",50577.92,"Etard_trait_data_reported"
"Acomys airensis",45.2,"Etard_trait_data_reported"
"Acomys cahirinus",45.2,"Etard_trait_data_reported"
"Acomys cilicicus",48,"Etard_trait_data_reported"
"Acomys cineraceus",43.6,"Etard_trait_data_reported"
"Acomys dimidiatus",45.2,"Etard_trait_data_reported"
"Acomys ignitus",45.2,"Etard_trait_data_reported"
"Acomys johannis",43.6,"Etard_trait_data_reported"
"Acomys kempi",43.6,"Etard_trait_data_reported"
"Acomys louisae",27.085,"Etard_trait_data_reported"
"Acomys minous",45.2,"Etard_trait_data_reported"
"Acomys mullah",45.2,"Etard_trait_data_reported"
"Acomys muzei",27.01,"Etard_trait_data_reported"
"Acomys nesiotes",45.2,"Etard_trait_data_reported"
"Acomys ngurui",27.01,"Etard_trait_data_reported"
"Acomys percivali",21.99,"Etard_trait_data_reported"
"Acomys russatus",54.915,"Etard_trait_data_reported"
"Acomys selousi",27.01,"Etard_trait_data_reported"
"Acomys seurati",45.2,"Etard_trait_data_reported"
"Acomys spinosissimus",27.01,"Etard_trait_data_reported"
"Acomys subspinosus",32.25,"Etard_trait_data_reported"
"Acomys wilsoni",20.96,"Etard_trait_data_reported"
"Aconaemys fuscus",120.975,"Etard_trait_data_reported"
"Aconaemys porteri",120.975,"Etard_trait_data_reported"
"Aconaemys sagei",96.49,"Etard_trait_data_reported"
"Acrobates pygmaeus",13,"Etard_trait_data_reported"
"Addax nasomaculatus",94288.68,"Etard_trait_data_reported"
"Aegialomys galapagoensis",63.51,"Etard_trait_data_reported"
"Aegialomys xanthaeolus",79.79,"Etard_trait_data_reported"
"Aepeomys lugens",37,"Etard_trait_data_reported"
"Aepeomys reigi",40.6,"Etard_trait_data_reported"
"Aepyceros melampus",52500,"Etard_trait_data_reported"
"Aepyprymnus rufescens",2820,"Etard_trait_data_reported"
"Aeretes melanopterus",246.434,"Etard_trait_data_reported"
