"binom","e0","mean_age_death","q0","lon","lat","mbar","bm","order","logbm"
"Acinonyx jubatus",2.688394,1.688394,0.60125,34.5666666666667,-2.33333333333333,NA,50577.92,"Carnivora",4.70396096516069
"Aepyceros melampus",5.3663400027222,5.19994555600926,0,30.7,-1.86666666666667,NA,52500,"Cetartiodactyla",4.72015930340596
"Alces alces",7.28381853318153,7.28381853318153,0.0335570469798658,-65.2333333333333,48.0166666666667,NA,359750,"Cetartiodactyla",5.55600080260864
"Alouatta palliata",21.75,23.75,NA,-79.8333333333333,9.15,NA,5659.14,"Primates",3.75275043796703
"Antilocapra americana",1.8335195892035,0.833519589203501,0.901334806209495,-114.25,47.3333333333333,NA,45375,"Cetartiodactyla",4.65681663804417
"Bison bison",8.66628127068715,7.66628127068715,0.234039939242316,-103.466666666667,43.5833333333333,NA,624577.07,"Cetartiodactyla",5.79558603600166
"Brachyteles hypoxanthus",21.8654210113819,20.8654210113819,0.07649343832021,-41.8,-19.7166666666667,0.25,10839.905,"Primates",4.03502547609936
"Callospermophilus lateralis",1.79886863607794,1.79886863607794,0,-120.133333333333,39.875,4,227.3,"Rodentia",2.35659943572497
"Canis latrans",9.625,9.125,0,-65,46.8333333333333,NA,11050,"Carnivora",4.04336227802113
"Capra ibex",12.1622773195918,12.1622773195918,0,6.01666666666667,45.2166666666667,0.401639344262295,77000,"Cetartiodactyla",4.88649072517248
"Capreolus capreolus",4.15657051193333,3.15657051193333,0.4935,2.7,47.4,0.869666048237477,21666.685,"Cetartiodactyla",4.33579246940298
"Capricornis crispus",5.53632478632479,4.53632478632479,0.259081196581197,141,39,NA,43030.64,"Cetartiodactyla",4.63377780544582
"Castor canadensis",2.8671875,2.8671875,0,-55.6333333333333,48.9333333333333,1.8,19928.335,"Rodentia",4.29947101518223
"Cebus capucinus",8.76962676531202,7.76962676531202,0.258939153439153,-85.6166666666667,10.8333333333333,0.5316084465,2655,"Primates",3.42406452541749
"Cebus olivaceus",14.831,12.4865,0.199,-67.5833333333333,8.56666666666667,0.307,2552.5,"Primates",3.40696575075895
"Cercopithecus mitis",10.2885276589359,9.28852765893592,0.180843408175014,34.85,0.233333333333333,0.2845375265,6116.5,"Primates",3.78650298007011
"Cervus elaphus",6.04853117505995,5.68958509662858,0,-111.166666666667,49.0833333333333,0.249,160166.665,"Cetartiodactyla",5.20457213276571
"Cervus nippon",7.261425,6.64983833883389,0.1144,138.7,36.4833333333333,NA,52999.99,"Cetartiodactyla",4.72427578765843
"Connochaetes taurinus",6.05541850640166,7.05541850640166,NA,32.05,-28.0333333333333,NA,180500,"Cetartiodactyla",5.25647720624168
"Crocuta crocuta",3.95018911942119,2.95018911942119,0.48,34.95,-1.31666666666667,NA,63000,"Carnivora",4.79934054945358
"Damaliscus lunatus",3.23887814313346,3.23887814313346,0,29.5,0.05,NA,118798.717,"Cetartiodactyla",5.07481175038567
"Dipodomys spectabilis",1.56332896384522,0.813328963845215,0.501532967141859,-109.133333333333,31.9,NA,124.61,"Rodentia",2.0955528960194
"Elephas maximus",24.0612885649681,23.0612885649681,0,96,23,0.139,3220000,"Proboscidea",6.50785587169583
"Equus hemionus",8.81475570126247,7.81475570126247,0.0322664135967561,104.166666666667,45,NA,230000,"Perissodactyla",5.36172783601759
"Equus quagga",8.67857142857143,9.17857142857143,0,31.125,-12.4333333333333,NA,290000,"Perissodactyla",5.46239799789896
"Erinaceus europaeus",2.06057573633333,1.289742403,0.375,13.45,55.7166666666667,NA,777.95,"Eulipotyphla",2.89095168513635
"Erythrocebus patas",3.17923028676725,3.17923028676725,0.43,15.8833333333333,12.15,NA,7660.5,"Primates",3.88425711691122
"Gorilla beringei",19.0649222250022,18.0649222250022,0.207674603174603,29.4833333333333,-1.36666666666667,0.215571513,139842,"Primates",5.14563762655143
"Gulo gulo",2.8761801016703,1.8761801016703,0.146332607116921,-138.5,61,NA,12792.49,"Carnivora",4.10695508615254
"Helogale parvula",2.40330815633257,1.40330815633257,0.59,34.5666666666667,-2.33333333333333,4.44,274.8,"Carnivora",2.43901672838751
"Heterohyrax brucei",2.94902073732719,2.39544930875576,0.234447004608294,34.5666666666667,-2.33333333333333,NA,2000,"Hyracoidea",3.30102999566398
"Hydropotes inermis",2.63950617283951,2.18406635802469,0.508796296296296,2.06666666666667,47.9666666666667,NA,12760.04,"Cetartiodactyla",4.10585203580772
"Kobus ellipsiprymnus",7.23463203463203,7.23463203463203,0,31.025,-13.9166666666667,NA,175333,"Cetartiodactyla",5.24386366377838
"Kobus leche",5.49339988298962,5.49339988298962,0,27.8333333333333,-15.6666666666667,0.51,91722.52,"Cetartiodactyla",4.96247597810173
"Lemur catta",5.85737605976988,4.85737605976988,0.2597,46.3011111111111,-25.0052777777778,NA,2555,"Primates",3.40739090447073
"Lepus europaeus",1.66319444444444,0.663194444444444,0.611111111111111,142.066666666667,-37.8333333333333,NA,3673.33,"Lagomorpha",3.5650599456993
"Loxodonta africana",23.8939561229549,26.2551649325284,0.0702788255081965,37.2666666666667,-2.66666666666667,0.240496242328495,4565000,"Proboscidea",6.65944078187032
"Lycaon pictus",3.03603904597535,2.03603904597535,0.410414556034653,35.025,-13.6666666666667,8.202985075,24249.995,"Carnivora",4.38471165339302
"Lynx canadensis",8.46609868654597,7.96609868654597,-1.83333333333333,-109.716666666667,55.15,NA,9682.82,"Carnivora",3.98600185855642
"Lynx rufus",4.14655172413793,3.14655172413793,0.153448275862069,-100.308333333333,38.9333333333334,NA,9400,"Carnivora",3.9731278535997
"Macaca fuscata",15.8978615566413,14.8978615566413,0.0861635812223875,-99.1666666666667,28.6666666666667,NA,8882.5,"Primates",3.94853521616137
"Macaca mulatta",5.62260765550239,4.62260765550239,0.372009569377991,-67.0333333333333,17.9666666666667,NA,6614,"Primates",3.82046419057768
"Macaca sinica",11.4473684210526,8.76315789473684,0.460526315789474,81,7.93333333333333,NA,4295.5,"Primates",3.63301372337154
"Macropus agilis",3.13157894736842,2.13157894736842,0.641447368421053,130.866666666667,-12.4333333333333,NA,13907.875,"Diprotodontia",4.14326077871426
"Macropus giganteus",4.344419011045,3.334285142054,0.090695,146.333333333333,-38.95,NA,41454.945,"Diprotodontia",4.61757634328483
"Mandrillus sphinx",5.89988191632929,4.89988191632929,0.205381241565452,13.5666666666667,-1.6,NA,23000,"Primates",4.36172783601759
"Marmota baibacina",3.66125541125541,2.66125541125541,0.507575757575758,80,42,5.5,3500,"Rodentia",3.54406804435028
"Marmota flaviventris",2.13418537702806,1.13418537702806,0.463509042844213,-106.95,38.8333333333333,1.68,3709.73,"Rodentia",3.56934230212794
"Marmota marmota",4.26443681108703,5.26443681108703,0.359481582537517,6.98333333333333,45.4833333333333,1.85958470833143,3500,"Rodentia",3.54406804435028
"Martes americana",1.90950859932159,0.909508599321594,0.548225462313432,-138.5,61,NA,892,"Carnivora",2.95036485437612
"Meles meles",4.6993623801444,4.6993623801444,0,-2.26666666666667,51.7,NA,11884.03,"Carnivora",4.07496373946434
"Mephitis mephitis",1.99285714285714,0.992857142857143,0.474489795918367,-85,50,NA,2949.995,"Carnivora",3.4698212798852
"Microcebus rufus",3.04707792207792,3.04707792207792,0,47.3333333333333,-21.2666666666667,NA,66.9,"Primates",1.82542611776782
"Mungos mungo",3.24545454545451,2.24545454545451,0.490909090909099,30,0.2,NA,1331.5,"Carnivora",3.12434117077496
"Muscardinus avellanarius",1.37892603850051,0.378926038500507,0.718844984802431,24.1916666666666,55.0833333333333,NA,27.315,"Rodentia",1.4364012048506
"Mustela erminea",1.35943552115813,0.984435521158129,0.332856347438753,6.23333333333335,53.8583333333333,NA,110.33,"Carnivora",2.04269361817864
"Mustela nivalis",0.7369432400473,0.7369432400473,0.715608986992511,-1,52,NA,49.75,"Carnivora",1.69679308508174
"Mustela putorius",1.64621168305379,0.646211683053788,0.676633892423366,10,56,NA,809,"Carnivora",2.90794852161227
"Myocastor coypus",1.01746031746032,1.51746031746032,-0.371428571428571,-58,-36,NA,7150,"Rodentia",3.85430604180108
"Myotis bechsteinii",5.02740964522422,5.02740964522422,0,9.93333333333333,49.7833333333333,NA,9.985,"Chiroptera",0.999348069206721
"Myotis daubentonii",227.41723358337,227.417233583371,0,12,52,NA,7.902,"Chiroptera",0.897737025345427
"Myotis lucifugus",1.47061335911534,0.470613359115342,0.827315500756663,-85.05,38.75,NA,7.15,"Chiroptera",0.854306041801081
"Myotis myotis",3.90567146833869,2.90567146833869,0.451710764573931,12,52,NA,27.07,"Chiroptera",1.43248825577051
"Nyctereutes procyonoides",2.10423197492163,2.10423197492163,0,26,61,4.4,4232,"Carnivora",3.62654565902713
"Ochotona princeps",2.25755953973776,2.25755953973776,0,-111.775,46.4333333333334,NA,140.2,"Lagomorpha",2.14674801363064
"Odocoileus virginianus",3.32561648917677,2.32561648917677,0.536796536796537,-94,47,NA,65320,"Cetartiodactyla",4.81504617606463
"Oreamnos americanus",6.66636053704586,6.66636053704586,0,-119,54,NA,77227.7,"Cetartiodactyla",4.88777310084663
"Oryctolagus cuniculus",1.43042841369549,0.93042841369549,0.522615197149018,175.45,-41.2166666666667,NA,1900,"Lagomorpha",3.27875360095283
"Ovis canadensis",7.35823293865094,7.35823293865094,0,-114.625,48.6666666666667,NA,69125,"Cetartiodactyla",4.83963514431275
"Pan troglodytes",15.4534020889009,14.4534020889009,0.116161616161616,29.6166666666667,0.5,0.25,44983.5,"Primates",4.65305324326393
"Panthera pardus",6.45153933865451,5.45153933865451,0.547320410490307,31.4833333333333,-24.8166666666667,NA,53074.995,"Carnivora",4.72488996192475
"Papio cynocephalus",8.99102967938481,7.99102967938481,0.23130131445905,37.2666666666667,-2.66666666666667,0.2912104045,17851.25,"Primates",4.25166863216223
"Papio ursinus",7.45473083572257,6.45473083572257,0.347,27.4477777777778,-22.5719444444444,NA,17729.44,"Primates",4.24869501824329
"Pecari tajacu",3.81692307692308,3.98095593726662,0.115384615384615,-99.4,28.3166666666667,NA,20500,"Cetartiodactyla",4.31175386105575
"Peromyscus leucopus",0.163512074139727,0.221204381832035,NA,-84,42.45,NA,22.3,"Rodentia",1.34830486304816
"Petrogale assimilis",3.293324,3.293324,0,144.45,-19.0666666666667,NA,4618.88,"Diprotodontia",3.66453667928166
"Phacochoerus aethiopicus",3.57142857142857,3,0.0769230769230769,38.5,-8.5,NA,73303.76,"Cetartiodactyla",4.86512625165847
"Pongo abelii",31.7394349832906,30.7394349832906,0.07168458781362,97.65,3.68333333333333,NA,53408.29,"Primates",4.72760867316755
"Procapra gutturosa",2.49279074947854,1.49279074947854,0.412018792653045,119.766666666667,49.2166666666667,NA,28274.27,"Cetartiodactyla",4.45139140089849
"Propithecus diadema",4.2575,3.2575,0.5,47.3333333333333,-21.2666666666667,0.5,6414.495,"Primates",3.80716247094534
"Propithecus verreauxi",12.1651000529744,11.1651000529744,0.034801302931596,44.65,-23.4833333333333,0.2942189135,3588.26,"Primates",3.5548839038465
"Pteromys volans",1.94725576312435,1.94725576312435,0,22.8166666666667,63.8166666666667,NA,140,"Rodentia",2.14612803567824
"Rangifer tarandus",4.69085385491795,3.69085385491795,0.163645927559485,-9.59166666666665,12.375,NA,101250,"Cetartiodactyla",5.00539503188671
"Rhabdomys pumilio",0.175011581867699,0.091678248534366,NA,18.5833333333333,-34,NA,45.865,"Rodentia",1.66148139784362
