"binomial","n_cells"
"Abditomys latidens",5
"Abeomelomys sevia",14
"Abrawayaomys chebezi",29
"Abrawayaomys ruschii",39
"Abrocoma bennettii",80
"Abrocoma boliviensis",2
"Abrocoma budini",2
"Abrocoma cinerea",223
"Abrocoma famatina",4
"Abrocoma shistacea",7
"Abrocoma uspallata",1
"Abrocoma vaccarum",1
"Abrothrix andinus",280
"Abrothrix illutea",33
"Abrothrix jelskii",234
"Abrothrix lanosus",49
"Abrothrix longipilis",405
"Abrothrix manni",35
"Abrothrix olivaceus",611
"Abrothrix sanborni",8
"Acerodon celebensis",125
"Acerodon humilis",3
"Acerodon jubatus",150
"Acerodon leucotis",24
"Acerodon mackloti",72
"Acinonyx jubatus",1596
"Acomys airensis",702
"Acomys cahirinus",1624
"Acomys cilicicus",1
"Acomys cineraceus",447
"Acomys dimidiatus",747
"Acomys ignitus",51
"Acomys johannis",187
"Acomys kempi",232
"Acomys louisae",282
"Acomys minous",11
"Acomys mullah",82
"Acomys muzei",200
"Acomys ngurui",113
"Acomys percivali",101
"Acomys russatus",345
"Acomys selousi",116
"Acomys seurati",133
"Acomys spinosissimus",49
"Acomys subspinosus",64
"Acomys wilsoni",517
"Aconaemys fuscus",23
"Aconaemys porteri",17
"Aconaemys sagei",28
"Acrobates pygmaeus",571
"Addax nasomaculatus",29
"Aegialomys galapagoensis",1
"Aegialomys xanthaeolus",147
"Aepeomys lugens",11
"Aepeomys reigi",12
"Aepyceros melampus",1279
"Aepyprymnus rufescens",265
"Aeretes melanopterus",35
"Aeromys tephromelas",195
"Aeromys thomasi",192
"Aethalops aequalis",58
"Aethalops alecto",94
"Aethomys bocagei",118
"Aethomys chrysophilus",1415
"Aethomys hindei",896
"Aethomys ineptus",261
"Aethomys kaiseri",654
"Aethomys nyikae",299
"Aethomys silindensis",17
"Aethomys stannarius",77
"Aethomys thomasi",118
"Afronycteris helios",258
"Afronycteris nanus",3806
"Ailuropoda melanoleuca",50
"Ailurops melanotis",2
"Ailurops ursinus",118
"Ailurus fulgens",225
"Akodon aerosus",101
"Akodon affinis",32
"Akodon albiventer",183
"Akodon azarae",554
"Akodon boliviensis",116
"Akodon budini",15
"Akodon caenosus",94
"Akodon cursor",358
"Akodon dayi",130
"Akodon dolores",382
"Akodon fumeus",85
"Akodon iniscatus",301
"Akodon juninensis",68
"Akodon kofordi",21
"Akodon lindberghi",82
"Akodon lutescens",77
"Akodon mimus",41
"Akodon molinae",228
"Akodon mollis",130
"Akodon montensis",436
"Akodon mystax",14
"Akodon orophilus",28
"Akodon paranaensis",232
"Akodon pervalens",31
"Akodon philipmyersi",6
"Akodon polopi",32
"Akodon reigi",38
"Akodon sanctipaulensis",17
"Akodon serrensis",145
"Akodon siberiae",19
"Akodon simulator",80
"Akodon spegazzinii",120
"Akodon subfuscus",97
"Akodon surdus",10
"Akodon sylvanus",11
"Akodon toba",190
"Akodon torques",43
"Akodon varius",115
"Alcelaphus buselaphus",2685
"Alces alces",15602
"Alexandromys evoronensis",8
"Alexandromys fortis",1196
"Alexandromys kikuchii",8
"Alexandromys limnophilus",574
"Alexandromys maximowiczii",996
"Alexandromys middendorffii",5306
"Alexandromys mongolicus",720
"Alexandromys montebelli",155
"Alexandromys mujanensis",9
"Alexandromys oeconomus",14207
"Alexandromys sachalinensis",46
"Alionycteris paucidentata",6
"Allactaga balikunica",158
"Allactaga bullata",793
"Allactaga firouzi",4
"Allactaga hotsoni",223
"Allactaga major",2419
"Allactaga severtzovi",478
"Allactaga sibirica",2845
"Allactaga tetradactyla",84
"Allactodipus bobrinskii",186
"Allenopithecus nigroviridis",132
"Allocebus trichotis",23
"Allochrocebus lhoesti",110
"Allochrocebus preussi",23
"Allochrocebus solatus",14
"Allocricetulus curtatus",755
"Allocricetulus eversmanni",1019
"Alouatta arctoidea",177
"Alouatta belzebul",347
"Alouatta caraya",1164
"Alouatta discolor",168
"Alouatta guariba",413
"Alouatta juara",868
"Alouatta macconnelli",637
"Alouatta nigerrima",107
"Alouatta palliata",310
"Alouatta pigra",118
"Alouatta puruensis",408
"Alouatta sara",150
"Alouatta seniculus",880
"Alouatta ululata",51
"Alticola albicaudus",6
"Alticola argentatus",752
"Alticola barakshin",200
"Alticola lemminus",1879
"Alticola macrotis",366
"Alticola montosa",19
"Alticola olchonensis",5
"Alticola roylei",29
"Alticola semicanus",410
"Alticola stoliczkanus",990
"Alticola strelzowi",343
"Alticola tuvinicus",118
"Amblysomus corriae",40
"Amblysomus hottentotus",116
"Amblysomus marleyi",6
"Amblysomus robustus",7
"Amblysomus septentrionalis",27
"Ametrida centurio",2038
"Ammodillus imbellis",93
"Ammodorcas clarkei",52
"Ammospermophilus harrisii",136
"Ammospermophilus interpres",151
"Ammospermophilus leucurus",521
"Ammospermophilus nelsoni",16
"Ammotragus lervia",578
"Amorphochilus schnablii",129
"Anathana ellioti",596
"Andalgalomys olrogi",40
"Andalgalomys pearsoni",66
"Andinomys edax",122
"Anisomys imitator",111
"Anomalurus beecrofti",1202
"Anomalurus derbianus",2076
"Anomalurus pelii",64
"Anomalurus pusillus",241
"Anonymomys mindorensis",2
"Anoura aequatoris",260
"Anoura cadenai",13
"Anoura caudifer",2238
"Anoura cultrata",388
"Anoura fistulata",58
"Anoura geoffroyi",3159
"Anoura latidens",366
"Anoura luismanueli",54
"Anoura peruana",493
"Anourosorex assamensis",20
"Anourosorex schmidi",11
"Anourosorex squamipes",518
"Anourosorex yamashinai",24
"Antechinomys laniger",1022
"Antechinomys longicaudatus",395
"Antechinus adustus",9
"Antechinus agilis",104
"Antechinus arktos",1
"Antechinus bellus",25
"Antechinus flavipes",492
"Antechinus godmani",4
"Antechinus leo",7
"Antechinus mimetes",145
