"binomial","bm_kg","N_per_carcass","P_per_carcass","Pbone_per_carcass","Psoft_per_carcass","P_supply_per_carcass","mass_per_carcass","mean_NP_ratio","turnover","input_frac_Pbone"
"Abditomys latidens",0.26809,0.00446431532944087,0.000990918767613014,0.00076770300114097,0.000223215766472044,0.000614162400912776,0.148810510981362,4.50522835508988,0.672882561910125,0.8
"Abeomelomys sevia",0.05789,0.00114975322329433,0.000232206643836975,0.000174718982672258,5.74876611647167e-05,0.000139775186137807,0.0383251074431445,4.95142259625241,0.891591072031682,0.8
"Abrawayaomys ruschii",0.06299,0.00123456538639048,0.000250542051040494,0.00018881378172097,6.1728269319524e-05,0.000151051025376776,0.0411521795463493,4.9275775514065,0.877875659482929,0.8
"Abrocoma bennettii",0.2655,0.00442905989204825,0.000982547059348742,0.00076109406474633,0.000221452994602413,0.000608875251797064,0.147635329734942,4.50773309014222,0.67408303779903,0.8
"Abrocoma boliviensis",0.158,0.00288582349975904,0.000621331273697646,0.000477040098709693,0.000144291174987952,0.000381632078967755,0.0961941166586348,4.64458111465246,0.741482587925754,0.8
"Abrocoma budini",0.22182,0.00382224127170957,0.00083922862556879,0.000648116561983311,0.000191112063585479,0.000518493249586649,0.127408042390319,4.55446961085132,0.696701700163505,0.8
"Abrocoma cinerea",0.22182,0.00382224127170957,0.00083922862556879,0.000648116561983311,0.000191112063585479,0.000518493249586649,0.127408042390319,4.55446961085132,0.696701700163505,0.8
"Abrocoma famatina",0.22182,0.00382224127170957,0.00083922862556879,0.000648116561983311,0.000191112063585479,0.000518493249586649,0.127408042390319,4.55446961085132,0.696701700163505,0.8
"Abrocoma shistacea",0.22182,0.00382224127170957,0.00083922862556879,0.000648116561983311,0.000191112063585479,0.000518493249586649,0.127408042390319,4.55446961085132,0.696701700163505,0.8
"Abrocoma uspallata",0.164279,0.00298108743068031,0.000643293451525214,0.000494239079991199,0.000149054371534015,0.000395391263992959,0.0993695810226769,4.63410193841132,0.736195785750684,0.8
"Abrocoma vaccarum",0.22182,0.00382224127170957,0.00083922862556879,0.000648116561983311,0.000191112063585479,0.000518493249586649,0.127408042390319,4.55446961085132,0.696701700163505,0.8
"Abrothrix andinus",0.03465,0.000741621533220085,0.000145412049164833,0.000108330972503828,3.70810766610042e-05,8.66647780030627e-05,0.0247207177740028,5.10013810739587,0.979699597907322,0.8
"Abrothrix illutea",0.04779,0.000977195814884539,0.00019519658590795,0.000146336795163723,4.8859790744227e-05,0.000117069436130978,0.0325731938294846,5.00621366064958,0.923537342849937,0.8
"Abrothrix jelskii",0.0345,0.000738846146866596,0.000144831376486839,0.00010788906914351,3.69423073433298e-05,8.63112553148078e-05,0.0246282048955532,5.1014232191167,0.980480321364531,0.8
"Abrothrix lanosus",0.025915,0.000576052441532255,0.000111051834174574,8.22492120979612e-05,2.88026220766127e-05,6.5799369678369e-05,0.0192017480510752,5.18723932669764,1.03337031609662,0.8
"Abrothrix longipilis",0.185,0.0032902627194634,0.00071490668590646,0.000550393549933289,0.00016451313597317,0.000440314839946632,0.109675423982113,4.60236669250273,0.720312302389884,0.8
"Abrothrix olivaceus",0.027,0.000597090571603945,0.000115384056358194,8.5529527777997e-05,2.98545285801972e-05,6.84236222223976e-05,0.0199030190534648,5.17481002531544,1.02561740014142,0.8
"Abrothrix sanborni",0.0247,0.000552316318779048,0.000106176984556119,7.85611686171663e-05,2.76158159389524e-05,6.2848934893733e-05,0.0184105439593016,5.20184596584703,1.04252164084985,0.8
"Acerodon celebensis",0.38484,0.0105588190320803,0.00248611054403413,0.00195816959243011,0.000527940951604017,0.00156653567394409,0.351960634402678,4.24712370792125,0.0634197148513907,0.8
"Acerodon humilis",0.35243,0.00968194412435341,0.00226560213805038,0.00178150493183271,0.00048409720621767,0.00142520394546616,0.32273147081178,4.27345294292714,0.0644524778749027,0.8
"Acerodon jubatus",1.08704,0.0293635811478586,0.00744261748789349,0.00597443843050056,0.00146817905739293,0.00477955074440045,0.978786038261953,3.94532987831536,0.0524108913527734,0.8
"Acerodon leucotis",0.35207,0.00967223612453674,0.00226316863494177,0.00177955682871493,0.000483611806226837,0.00142364546297194,0.322407870817891,4.27375847084661,0.0644645736433239,0.8
"Acerodon mackloti",0.46793,0.0128012239652985,0.00305587411842291,0.00241581292015798,0.000640061198264923,0.00193265033612639,0.426707465509949,4.18905474153006,0.0611836642157755,0.8
"Acinonyx jubatus",50.57792,0.486022732775755,0.153787953505074,0.129486816866287,0.0243011366387878,0.103589453493029,16.2007577591918,3.1603433279299,0.217307290022517,0.8
"Acomys airensis",0.0452,0.000931844951502753,0.000185541247110771,0.000138948999535633,4.65922475751376e-05,0.000111159199628507,0.0310614983834251,5.02230617726972,0.933034318958982,0.8
"Acomys cahirinus",0.0452,0.000931844951502753,0.000185541247110771,0.000138948999535633,4.65922475751376e-05,0.000111159199628507,0.0310614983834251,5.02230617726972,0.933034318958982,0.8
"Acomys cilicicus",0.048,0.0009808518860495,0.000195976337769792,0.000146933743467317,4.9042594302475e-05,0.000117546994773854,0.0326950628683167,5.0049505833795,0.922794133735643,0.8
"Acomys cineraceus",0.0436,0.000903581526036092,0.000179540102697553,0.000134361026395749,4.51790763018046e-05,0.000107488821116599,0.0301193842012031,5.03275598298077,0.939229028262857,0.8
"Acomys dimidiatus",0.0452,0.000931844951502753,0.000185541247110771,0.000138948999535633,4.65922475751376e-05,0.000111159199628507,0.0310614983834251,5.02230617726972,0.933034318958982,0.8
"Acomys ignitus",0.0452,0.000931844951502753,0.000185541247110771,0.000138948999535633,4.65922475751376e-05,0.000111159199628507,0.0310614983834251,5.02230617726972,0.933034318958982,0.8
"Acomys johannis",0.0436,0.000903581526036092,0.000179540102697553,0.000134361026395749,4.51790763018046e-05,0.000107488821116599,0.0301193842012031,5.03275598298077,0.939229028262857,0.8
"Acomys kempi",0.0436,0.000903581526036092,0.000179540102697553,0.000134361026395749,4.51790763018046e-05,0.000107488821116599,0.0301193842012031,5.03275598298077,0.939229028262857,0.8
"Acomys louisae",0.027085,0.000598732585705083,0.000115722626679583,8.57859973943289e-05,2.99366292852542e-05,6.86287979154631e-05,0.0199577528568361,5.17385927786513,1.02502565586168,0.8
"Acomys minous",0.0452,0.000931844951502753,0.000185541247110771,0.000138948999535633,4.65922475751376e-05,0.000111159199628507,0.0310614983834251,5.02230617726972,0.933034318958982,0.8
"Acomys mullah",0.0452,0.000931844951502753,0.000185541247110771,0.000138948999535633,4.65922475751376e-05,0.000111159199628507,0.0310614983834251,5.02230617726972,0.933034318958982,0.8
"Acomys muzei",0.02701,0.000597283795412289,0.000115423894286727,8.55597045161128e-05,2.98641897706144e-05,6.84477636128902e-05,0.0199094598470763,5.17469800428464,1.02554766880335,0.8
"Acomys nesiotes",0.0452,0.000931844951502753,0.000185541247110771,0.000138948999535633,4.65922475751376e-05,0.000111159199628507,0.0310614983834251,5.02230617726972,0.933034318958982,0.8
"Acomys ngurui",0.02701,0.000597283795412289,0.000115423894286727,8.55597045161128e-05,2.98641897706144e-05,6.84477636128902e-05,0.0199094598470763,5.17469800428464,1.02554766880335,0.8
"Acomys percivali",0.02199,0.000498656081835576,9.52098396392773e-05,7.02770355474985e-05,2.49328040917788e-05,5.62216284379988e-05,0.0166218693945192,5.23744272361806,1.06500661111894,0.8
"Acomys russatus",0.054915,0.00109959159667088,0.000221405721481113,0.000166426141647569,5.49795798335442e-05,0.000133140913318055,0.0366530532223628,4.96641003364804,0.900269914719492,0.8
"Acomys selousi",0.02701,0.000597283795412289,0.000115423894286727,8.55597045161128e-05,2.98641897706144e-05,6.84477636128902e-05,0.0199094598470763,5.17469800428464,1.02554766880335,0.8
"Acomys seurati",0.0452,0.000931844951502753,0.000185541247110771,0.000138948999535633,4.65922475751376e-05,0.000111159199628507,0.0310614983834251,5.02230617726972,0.933034318958982,0.8
"Acomys spinosissimus",0.02701,0.000597283795412289,0.000115423894286727,8.55597045161128e-05,2.98641897706144e-05,6.84477636128902e-05,0.0199094598470763,5.17469800428464,1.02554766880335,0.8
"Acomys subspinosus",0.03225,0.000696948860304232,0.000136083970055948,0.000101236527040737,3.48474430152116e-05,8.09892216325895e-05,0.0232316286768077,5.12146184460737,0.992697135564489,0.8
"Acomys wilsoni",0.02096,0.000477983971354959,9.10057702766785e-05,6.71065717089305e-05,2.3899198567748e-05,5.36852573671444e-05,0.0159327990451653,5.25223807129787,1.07442887535128,0.8
"Aconaemys fuscus",0.120975,0.0021213742505894,0.000446707963221238,0.000340639250691768,0.00010606871252947,0.000272511400553414,0.0707124750196468,4.7489062771392,0.778740741535511,0.8
"Aconaemys porteri",0.120975,0.0021213742505894,0.000446707963221238,0.000340639250691768,0.00010606871252947,0.000272511400553414,0.0707124750196468,4.7489062771392,0.778740741535511,0.8
"Aconaemys sagei",0.09649,0.00176155313165752,0.000366249008108913,0.000278171351526037,8.80776565828759e-05,0.00022253708122083,0.0587184377219173,4.80971440920238,0.811757036664241,0.8
"Acrobates pygmaeus",0.013,0.000312064539468758,5.77596446037515e-05,4.21564176303135e-05,1.56032269734379e-05,3.37251341042508e-05,0.0104021513156253,5.40281266634542,0.867757910446223,0.8
"Addax nasomaculatus",94.28868,0.992272904365954,0.330789693039139,0.281176047820841,0.0496136452182977,0.224940838256673,33.0757634788651,2.99970925710962,0.195598938846873,0.8
"Aegialomys galapagoensis",0.06351,0.00124313324798587,0.000252399269854846,0.000190242607455552,6.21566623992936e-05,0.000152194085964442,0.0414377749328624,4.92526483416847,0.876551464084763,0.8
"Aegialomys xanthaeolus",0.07979,0.00150471721301429,0.000309503572708227,0.000234267712057513,7.52358606507143e-05,0.000187414169646011,0.0501572404338095,4.86171193388064,0.840582381543438,0.8
"Aepeomys lugens",0.037,0.000784825116968376,0.000154470077687334,0.000115228821838915,3.92412558484188e-05,9.21830574711319e-05,0.0261608372322792,5.08075822009333,0.967966350047758,0.8
"Aepeomys reigi",0.0406,0.000850050158326485,0.000168209465948432,0.000125706958032108,4.25025079163242e-05,0.000100565566425686,0.0283350052775495,5.05352153360432,0.951603924278824,0.8
"Aepyceros melampus",52.5,0.574392159622843,0.183423005206956,0.154703397225813,0.0287196079811421,0.123762717780651,19.1464053207614,3.13151645822594,0.217800627106172,0.8
"Aepyprymnus rufescens",2.82,0.0407109560429494,0.0106289956887911,0.00859344788664367,0.00203554780214747,0.00687475830931494,1.35703186809831,3.83017899667429,0.323164998366518,0.8
"Aeretes melanopterus",0.246434,0.00416712052924222,0.000920498444223335,0.000712142417761225,0.000208356026462111,0.00056971393420898,0.138904017641407,4.52702615131327,0.683369837453715,0.8
"Aeromys tephromelas",1.187,0.0162320583589664,0.00395389570064769,0.00314229278269937,0.000811602917948319,0.0025138342261595,0.541068611965546,4.10533296472828,0.512028991969064,0.8
"Aeromys thomasi",1.43019,0.0189243093797095,0.00466124029258342,0.00371502482359794,0.000946215468985476,0.00297201985887835,0.630810312656984,4.05993001687133,0.49480311573113,0.8
"Aethalops aequalis",0.0139,0.000401293067044638,7.54341529163665e-05,5.53694995641346e-05,2.00646533522319e-05,4.42955996513077e-05,0.0133764355681546,5.31977958961837,0.1166921991543,0.8
"Aethalops alecto",0.015,0.000432563021846662,8.1717777479385e-05,6.00896263870519e-05,2.16281510923331e-05,4.80717011096415e-05,0.0144187673948887,5.29337722083527,0.115071714219218,0.8
"Aethomys bocagei",0.063854,0.00124879338150348,0.000253626678521728,0.000191187009446554,6.24396690751738e-05,0.000152949607557244,0.0416264460501158,4.92374614840249,0.875682490801284,0.8
"Aethomys chrysophilus",0.0797,0.00150330378808359,0.000309193049487156,0.000234027860082976,7.51651894041796e-05,0.000187222288066381,0.0501101262694531,4.86202322651512,0.840756588676917,0.8
"Aethomys hindei",0.098495,0.00179171497116278,0.000372952528669889,0.00028336678011175,8.9585748558139e-05,0.0002266934240894,0.0597238323720927,4.80413680945619,0.808697424660971,0.8
"Aethomys ineptus",0.08085,0.00152133902146661,0.000313156823606694,0.000237089872533363,7.60669510733305e-05,0.000189671898026691,0.0507113007155537,4.85807399610529,0.838547944637871,0.8
"Aethomys kaiseri",0.098495,0.00179171497116278,0.000372952528669889,0.00028336678011175,8.9585748558139e-05,0.0002266934240894,0.0597238323720927,4.80413680945619,0.808697424660971,0.8
"Aethomys nyikae",0.077015,0.00146097995800248,0.000299904148448175,0.000226855150548052,7.30489979001239e-05,0.000181484120438441,0.0486993319334159,4.87148965948679,0.846063540243854,0.8
"Aethomys silindensis",0.08276,0.00155117393785397,0.000319721067090706,0.000242162370198007,7.75586968926987e-05,0.000193729896158406,0.0517057979284658,4.85164756882881,0.834960608408407,0.8
"Aethomys stannarius",0.0829,0.00155335501496893,0.000320201290833977,0.00024253354008553,7.76677507484467e-05,0.000194026832068424,0.0517785004989644,4.85118286351426,0.834701524383224,0.8
"Aethomys thomasi",0.098495,0.00179171497116278,0.000372952528669889,0.00028336678011175,8.9585748558139e-05,0.0002266934240894,0.0597238323720927,4.80413680945619,0.808697424660971,0.8
"Ailuropoda melanoleuca",117.5,1.0784329738296,0.363308346359115,0.309386697667635,0.0539216486914799,0.247509358134108,35.9477657943199,2.96836828726091,0.186147885241836,0.8
"Ailurops melanotis",7,0.0942481075543042,0.0262196925617202,0.021507287184005,0.00471240537771521,0.017205829747204,3.14160358514347,3.59455425850046,0.273479786056228,0.8
