"binom","order","bm_kg","turnover_death","turnover_max","turnover_final"
"Abditomys latidens","Rodentia",0.26809,0.672882561910125,2.14408080673414,0.672882561910125
"Abeomelomys sevia","Rodentia",0.05789,0.891591072031682,3.23737529667576,0.891591072031682
"Abrawayaomys ruschii","Rodentia",0.06299,0.877875659482929,3.16472288820894,0.877875659482929
"Abrocoma bennettii","Rodentia",0.2655,0.67408303779903,2.14968362038294,0.67408303779903
"Abrocoma boliviensis","Rodentia",0.158,0.741482587925754,2.47155414669642,0.741482587925754
"Abrocoma budini","Rodentia",0.22182,0.696701700163505,2.25610964922318,0.696701700163505
"Abrocoma cinerea","Rodentia",0.22182,0.696701700163505,2.25610964922318,0.696701700163505
"Abrocoma famatina","Rodentia",0.22182,0.696701700163505,2.25610964922318,0.696701700163505
"Abrocoma shistacea","Rodentia",0.22182,0.696701700163505,2.25610964922318,0.696701700163505
"Abrocoma uspallata","Rodentia",0.164279,0.736195785750684,2.44579607649144,0.736195785750684
"Abrocoma vaccarum","Rodentia",0.22182,0.696701700163505,2.25610964922318,0.696701700163505
"Abrothrix andinus","Rodentia",0.03465,0.979699597907322,3.7163332166457,0.979699597907322
"Abrothrix illutea","Rodentia",0.04779,0.923537342849937,3.4086101140996,0.923537342849937
"Abrothrix jelskii","Rodentia",0.0345,0.980480321364531,3.7206700266416,0.980480321364531
"Abrothrix lanosus","Rodentia",0.025915,1.03337031609662,4.01816442824266,1.03337031609662
"Abrothrix longipilis","Rodentia",0.185,0.720312302389884,2.36892630798491,0.720312302389884
"Abrothrix olivaceus","Rodentia",0.027,1.02561740014142,3.97410385074889,1.02561740014142
"Abrothrix sanborni","Rodentia",0.0247,1.04252164084985,4.07037001743276,1.04252164084985
"Acerodon celebensis","Chiroptera",0.38484,0.0634197148513907,1.94551882002662,0.0634197148513907
"Acerodon humilis","Chiroptera",0.35243,0.0644524778749027,1.99207917714504,0.0644524778749027
"Acerodon jubatus","Chiroptera",1.08704,0.0524108913527734,1.47164760931779,0.0524108913527734
"Acerodon leucotis","Chiroptera",0.35207,0.0644645736433239,1.992626559144,0.0644645736433239
"Acerodon mackloti","Chiroptera",0.46793,0.0611836642157755,1.84591563808039,0.0611836642157755
"Acinonyx jubatus","Carnivora",50.57792,0.217307290022517,0.524175917194892,0.217307290022517
"Acomys airensis","Rodentia",0.0452,0.933034318958982,3.46005148990619,0.933034318958982
"Acomys cahirinus","Rodentia",0.0452,0.933034318958982,3.46005148990619,0.933034318958982
"Acomys cilicicus","Rodentia",0.048,0.922794133735643,3.40459475923254,0.922794133735643
"Acomys cineraceus","Rodentia",0.0436,0.939229028262857,3.49373713176491,0.939229028262857
"Acomys dimidiatus","Rodentia",0.0452,0.933034318958982,3.46005148990619,0.933034318958982
"Acomys ignitus","Rodentia",0.0452,0.933034318958982,3.46005148990619,0.933034318958982
